No,In,Out,Passed,Status,Code,MsElapsed,Zero,PeakKB,Syscalls,Reason
68,xpl/in/gen_068.in,xpl/out/gen_068.out,1,OK,0,85,0,6324,0,ok
69,xpl/in/gen_069.in,xpl/out/gen_069.out,1,OK,0,57,0,6324,0,ok
70,xpl/in/gen_070.in,xpl/out/gen_070.out,1,OK,0,57,0,6324,0,ok
71,xpl/in/gen_071.in,xpl/out/gen_071.out,1,OK,0,51,0,6324,0,ok
72,xpl/in/gen_072.in,xpl/out/gen_072.out,1,OK,0,63,0,6324,0,ok
73,xpl/in/gen_073.in,xpl/out/gen_073.out,1,OK,0,52,0,6324,0,ok
74,xpl/in/gen_074.in,xpl/out/gen_074.out,1,OK,0,136,0,6324,0,ok
75,xpl/in/gen_075.in,xpl/out/gen_075.out,1,OK,0,66,0,6324,0,ok
76,xpl/in/gen_076.in,xpl/out/gen_076.out,1,OK,0,88,0,6324,0,ok
77,xpl/in/gen_077.in,xpl/out/gen_077.out,1,OK,0,68,0,6324,0,ok
78,xpl/in/gen_078.in,xpl/out/gen_078.out,1,OK,0,48,0,6324,0,ok
79,xpl/in/gen_079.in,xpl/out/gen_079.out,1,OK,0,76,0,6324,0,ok
80,xpl/in/gen_080.in,xpl/out/gen_080.out,1,OK,0,57,0,6324,0,ok
81,xpl/in/gen_081.in,xpl/out/gen_081.out,1,OK,0,43,0,6324,0,ok
82,xpl/in/gen_082.in,xpl/out/gen_082.out,1,OK,0,78,0,6324,0,ok
83,xpl/in/gen_083.in,xpl/out/gen_083.out,1,OK,0,54,0,6324,0,ok
84,xpl/in/gen_084.in,xpl/out/gen_084.out,1,OK,0,120,0,6324,0,ok
85,xpl/in/gen_085.in,xpl/out/gen_085.out,1,OK,0,91,0,6324,0,ok
86,xpl/in/gen_086.in,xpl/out/gen_086.out,1,OK,0,60,0,6324,0,ok
87,xpl/in/gen_087.in,xpl/out/gen_087.out,1,OK,0,30,0,6324,0,ok
88,xpl/in/gen_088.in,xpl/out/gen_088.out,1,OK,0,73,0,6324,0,ok
89,xpl/in/gen_089.in,xpl/out/gen_089.out,1,OK,0,63,0,6324,0,ok
90,xpl/in/gen_090.in,xpl/out/gen_090.out,1,OK,0,79,0,6324,0,ok
91,xpl/in/gen_091.in,xpl/out/gen_091.out,1,OK,0,35,0,6324,0,ok
92,xpl/in/gen_092.in,xpl/out/gen_092.out,1,OK,0,44,0,6324,0,ok
93,xpl/in/gen_093.in,xpl/out/gen_093.out,1,OK,0,79,0,6324,0,ok
94,xpl/in/gen_094.in,xpl/out/gen_094.out,1,OK,0,75,0,6324,0,ok
95,xpl/in/gen_095.in,xpl/out/gen_095.out,1,OK,0,78,0,6324,0,ok
96,xpl/in/gen_096.in,xpl/out/gen_096.out,1,OK,0,79,0,6324,0,ok
97,xpl/in/gen_097.in,xpl/out/gen_097.out,1,OK,0,55,0,6324,0,ok
98,xpl/in/gen_098.in,xpl/out/gen_098.out,1,OK,0,61,0,6324,0,ok
99,xpl/in/gen_099.in,xpl/out/gen_099.out,1,OK,0,63,0,6324,0,ok
100,xpl/in/gen_100.in,xpl/out/gen_100.out,1,OK,0,59,0,6324,0,ok
